"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17024606","2017-05-22"," SM-J510L ","갤럭시J5 2016","105000","요금할인약정 가능","LG U+ (마이크로유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6374.jpg","판매가 완료된 상품 입니다."
"17024608","2017-05-22"," SM-N920K 32GB ","갤럭시 노트5","225000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6148.jpg","N/A"
"17024611","2017-05-22"," LG-F400L ","엘지 G3","50000","요금할인약정 가능","LG U+ (마이크로유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5814.jpg","판매가 완료된 상품 입니다."
"17024613","2017-05-22"," SM-A710S ","갤럭시A7 2016","155000","모름","SKT (나노유심) ","미확인 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6236.jpg","N/A"
"17024615","2017-05-22"," SM-G950N ","갤럭시S8","730000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6512.jpg","N/A"
"17024618","2017-05-22"," SM-B520SL ","삼성마스터 듀얼","150000","요금할인약정 가능","SKT","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5949.jpg","판매가 완료된 상품 입니다."
"17024620","2017-05-22"," SM-A710K ","갤럭시A7 2016","175000","모름","KT (나노유심) ","미확인 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6262.jpg","판매가 완료된 상품 입니다."
"17024629","2017-05-22"," SM-N900K 32GB ","갤럭시 노트3","115000","모름","KT (마이크로유심) ","미확인 ","N/A","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6310.jpg","N/A"
"17024638","2017-05-22"," LG-F560K ","G 스타일로","60000","모름","KT (마이크로유심) ","미확인 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6066.jpg","N/A"
"17024642","2017-05-22"," SM-J700K ","갤럭시J7","113000","모름","KT (마이크로유심) ","미확인 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6230.jpg","N/A"
"17024646","2017-05-22"," LGM-G600K ","G6 64GB","530000","요금할인약정 불가","KT (나노유심) ","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6522.jpg","판매가 완료된 상품 입니다."
"17024647","2017-05-22"," LGM-G600K ","G6 64GB","530000","요금할인약정 불가","KT (나노유심) ","무상 보증기간 남음 ","유심기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6522.jpg","판매가 완료된 상품 입니다."
"17024655","2017-05-22"," A1784 128GB ","아이폰7플러스","830000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6427.jpg","판매가 완료된 상품 입니다."
"17024661","2017-05-22"," SM-G935S 32GB ","갤럭시 S7 엣지","345000","모름","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","판매가 완료된 상품 입니다."
"17024666","2017-05-22"," SM-G935S 32GB ","갤럭시 S7 엣지","390000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","판매가 완료된 상품 입니다."
"17024668","2017-05-22"," SM-G928L 32GB ","갤럭시S6 엣지플러스","220000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6159.jpg","판매가 완료된 상품 입니다."
"17024671","2017-05-22"," SM-G150NK ","갤럭시 폴더","95000","모름","KT (마이크로유심) ","미확인 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6123.jpg","N/A"
"17024677","2017-05-22"," LG-F820L ","U폰","80000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6473.jpg","N/A"
